AnnualAverageWaterLevel,AnnualMaximumDailyWaterLevel,AnnualMaximumMomentWaterLevel,AnnualMinimumDailyWaterLevel,AnnualMinimumMomentWaterLevel,AnnualOccurredDateOfMaximumDailyWaterLevel,AnnualOccurredDateOfMinimumDailyWaterLevel,AnnualOccurredTimeOfMaximumMomentWaterLevel,AnnualOccurredTimeOfMinimumMomentWaterLevel,WellIdentifier,Year
"3.53","4.55","4.57","2.50","0.44","0826","0209","082612","070509","01010211","1994"
"3.30","4.12","4.12","2.33","2.30","0411","1228","041016","123123","01010211","1995"
"3.12","4.76","4.83","2.14","2.15","0819","0222","080118","022220","01010211","1996"
"2.35","3.70","3.70","1.08","1.07","0905","0426","090502","042622","01010211","1997"
"3.99","5.71","5.73","2.56","2.55","1028","0114","102802","011424","01010211","1998"
"3.40","4.42","4.45","2.86","2.85","0701","1231","070102","123108","01010211","1999"
"3.67","4.61","4.62","2.52","2.51","0903","0215","090309","021923","01010211","2000"
"2.90","5.49","5.51","1.41","1.38","0930","0901","093014","090101","01010211","2001"
"2.13","2.84","2.86","1.78","1.77","0102","0529","010114","053023","01010211","2002"
"2.04","2.34","2.34","1.68","1.68","1016","0419","101514","041813","01010211","2003"
"2.96","4.63","4.63","1.98","1.98","0919","0119","091814","011823","01010211","2004"
"3.41","4.15","4.16","2.57","0.00","0811","0217","081214","113024","01010211","2005"
"3.04","4.24","4.24","2.45","2.45","0614","0320","061401","031909","01010211","2006"
"3.72","4.68","4.69","2.77","2.76","1011","0218","101104","021924","01010211","2007"
"3.74","5.11","5.11","3.27","3.26","1002","0330","100203","033106","01010211","2008"
"3.07","3.55","3.56","2.65","2.64","1201","0228","120112","022820","01010211","2009"
"3.59","4.20","4.22","2.70","2.69","0701","1231","062909","123121","01010211","2010"
"2.71","3.25","3.26","2.38","2.38","1227","0622","122711","051409","01010211","2011"
"3.42","4.40","4.40","2.82","2.81","0622","1121","062203","112207","01010211","2012"
"3.37","4.51","4.51","2.75","2.75","0905","0328","090414","032621","01010211","2013"
"3.60","4.57","4.58","3.11","3.10","0612","0207","061303","020723","01010211","2014"
"3.12","3.16","3.16","3.09","3.08","0103","0130","010312","013109","01010211","2015"
"0.63","1.21","1.27","-0.07","-0.14","0929","0805","092824","080509","01010212","2015"
"0.59","1.55","1.64","-0.25","-0.33","0704","0430","092723","043016","01010212","2016"
"0.69","1.57","1.61","-0.90","-0.93","0710","1229","070309","122917","01010212","2017"
"-1.30","-0.22","-0.17","-2.17","-2.25","0812","0419","081210","041820","01010212","2019"
